Auf dem Flohmarkt,	,At the Flea Market
"das Bett, -en",	,bed
"der CD-Spieler, -",	,CD player
"der Computer, -",	,computer
der Computer-,	,computer
"anschuss, ""-e",	,connection
"der DVD-Spieler, -",	,DVD player
"der Fernseher, -",	,TV set
"das Foto, -s",	,photograph
"die Gitarre, -n",	,guitar
"das Handy, -s",	,cell phone
"der Kleiderschank, ""-e",	,clothes closet
"die Kommode, -n",	,dresser
"die Lampe, -n",	,lamp
die Möbel (pl.),	,furniture
"der Papierkorb, ""-e",	,wastepaper basket
"das Poster, -",	,poster
"das Radio, -s",	,radio
"das Regal, -e",	,shelf
"das Bücherregal, -e",	,"bookcase, bookshelf"
"der Sessel, -",	,armchair
"das Sofa, -s",	,sofa
"die Stereoanlage, -n",	,stereo
"der Stuhl, ""-e",	,chair
"das Telefon, -e",	,telephone
"der Teppich, -e",	,"rug, carpet"
"der Tisch, -e",	,table
"der Couchtisch, -e",	,coffee table
"der Nachttisch, -e",	,nightstand
"der Schreibtisch, -e",	,desk
"die Uhr, -en",	,clock
"der Wecker, -",	,alarm clock
Das Haus,	,The House
"das Bad,",	,bathroom
"der Balkon, -e",	,balcony
"das Fenster, -",	,window
"die Garage, -n",	,garage
"der Garten,",	,garden; yard
"das Haus,",	,house
"die Küche, -n",	,kitchen
"die Terrasse,-n",	,"terrace, patio"
"die Tür, -en",	,door
"die Wand,",	,wall
"das Zimmer, -",	,room
"das Arbeitszimmer, -",	,"workroom, study"
"das Badezimmer, -",	,bathroom
"das Esszimmer, -",	,dining room
"das Schlafzimmer, -",	,bedroom
"das Wohnzimmer, -",	,living room
Sonstige Substantive,	,Other Nouns
"das Auto, -s",	,car
"der Euro, -s",	,euro
das Geld,	,money
"der Junge (-n masc.), -n",	,boy
"das Kaufhaus,",	,department store
die Leute (pl.),	,people
"der Mensch (-en masc. ), -en",	,"person, human being"
"die Miete, -n",	,rent
"der Mitbewohner, - / die Mitbewohnerin, -nen",	,"roommate, housemate"
"das Motorrad,",	,motorcycle
"der Nichtraucher, - / die Nichtraucherin, -nen",	,nonsmoker
"das Problem, -e",	,problem
"das Studentenwohnheim, -e",	,dormitory
"der Tag, -e",	,day
"das Video, -s",	,video
"die Wohngemeinschaft, -en (abbreviated WG, plural WGs)",	,shared housing
"die Wohnung, -en",	,apartment
"die Zeit, -en",	,time
"die Zimmerpflanze, -n",	,houseplant
Verben,	,Verbs
brauchen,	,to need
essen (isst),	,to eat
fahren (fährt),	,"to drive, ride"
fragen,	,to ask
haben (hat),	,to have
Durst haben,	,to be thirsty
gern haben,	,to like (a person or thing)
Hunger haben,	,to be hungry
Lust haben,	,to feel like (doing something)
recht haben,	,to be correct
Zeit haben,	,to have time
kaufen,	,to buy
kosten,	,to cost
laufen (läuft),	,"to run, jog"
lesen (liest),	,to read
schlafen (schläft),	,to sleep
schreiben,	,to write
schwimmen,	,to swim
sehen (sieht),	,to see
sprechen (spricht),	,to speak
suchen,	,to look for
trinken,	,to drink
Adjektive und Adverbien,	,Adjectives and Adverbs
alle,	,all
bequem,	,"comfortable, comfortably"
billig,	,"inexpensive(ly), cheap(ly)"
da,	,there
dringend,	,desperate(ly)
dunkel,	,dark
Page 81frei,	,free(ly)
genau,	,exact(ly)
gerade,	,"just, exactly; now"
groβ,	,"big, large"
hässlich,	,ugly
hell,	,"bright(ly), light"
hoch,	,high(ly)
klein,	,small
möbliert,	,furnished
unmöbliert,	,unfurnished
niedrig,	,low
noch,	,still; yet
nur,	,only
preiswert,	,"a bargain, inexpensive(ly)"
recht,	,"quite, rather"
recht preiswert,	,"quite inexpensive, reasonable"
schon,	,already
schön,	,"nice(ly), beautiful(ly)"
selten,	,rare(ly)
so,	,so
teuer,	,expensive(ly)
viel/viele,	,much/many
wieder,	,again
Sonstiges,	,Other
dieser,	,this
etwas,	,"something; somewhat, a little (adverb)"
kein,	,"no, none, not any"
nichts,	,nothing
warum,	,why
Was ist denn los?,	,What's the matter?
weit (weg) von …,	,far (away) from …
welcher,	,which
zentral gelegen,	,centrally located
