Der Stammbaum,	,Family Tree
"der Bruder,",	,brother
die Eltern (pl.),	,parents
"der Enkel, -",	,grandson
"die Enkelin, -nen",	,granddaughter
"die Familie, -n",	,family
"die Frau, -en",	,wife
die Geschwister (pl.),	,siblings
die Großeltern (pl.),	,grandparents
"die Großmutter,",	,grandmother
"der Großvater,",	,grandfather
"die Kusine, -n",	,(female) cousin
"der Mann, er",	,husband
"die Mutter,",	,mother
"der Neffe (-n masc.), -n",	,nephew
"die Nichte, -n",	,niece
"die Oma, -s",	,grandma
"der Onkel, -",	,uncle
"der Opa, -s",	,grandpa
"der Schwager,",	,brother-in-law
"die Schwägerin, -nen",	,sister-in-law
"die Schwester, -n",	,sister
"der Sohn, e",	,son
"die Tante, -n",	,aunt
"die Tochter,",	,daughter
"der Vater,",	,father
"der Vetter, -n",	,(male) cousin
die Wochentage,	,Days of the Week
der Montag,	,Monday
am Montag,	,on Monday
der Dienstag,	,Tuesday
der Mittwoch,	,Wednesday
der Donnerstag,	,Thursday
der Freitag,	,Friday
der Samstag / der Sonnabend,	,Saturday
der Sonntag,	,Sunday
die Monate,	,Months
der Januar*,	,January
im Januar,	,in January
der Februar,	,February
der März,	,March
der April,	,April
der Mai,	,May
der Juni,	,June
der Juli,	,July
der August,	,August
der September,	,September
der Oktober,	,October
der November,	,November
der Dezember,	,December
Feste und Feiertage,	,Holidays
"das Familienfest, -e",	,family gathering
(der) Fasching,	,"Mardi Gras (southern Germany, Austria)"
"das Geschenk, -e",	,"gift, present"
der Heilige Abend,	,Christmas Eve
"die Hochzeit, -en",	,wedding
"der Kalender, -",	,calendar
(der) Karneval,	,Mardi Gras (Rhineland)
der Muttertag,	,Mother's Day
das Neujahr,	,New Year's Day
(das) Ostern,	,Easter
"die Party, -s",	,party
(das) Silvester,	,New Year's Eve
"die Tradition, -en",	,tradition
der Valentinstag,	,Valentine's Day
das Weihnachten,	,Christmas
"der Weihnachtsbaum, e",	,Christmas tree
Verben,	,Verbs
feiern,	,to celebrate
geben (gibt),	,to give
gratulieren,	,to congratulate
heiraten,	,to marry
kennen,	,to know (be acquainted with a person or thing)
planen,	,to plan
werden (wird),	,"to become, be"
wissen (weiß),	,to know (something as a fact)
wünschen,	,to wish
Adjektive und Adverbien,	,Adjectives and Adverbs
leider,	,unfortunately
morgen,	,tomorrow
nämlich,	,"namely, that is to say"
neu,	,new
verwandt mit,	,related to
vielleicht,	,"perhaps, maybe"
wichtig,	,important
Ordinalzahlen,	,Ordinal Numbers
erste,	,first
der erste Mai,	,May first
am ersten Mai,	,on May first
zweite,	,second
dritte,	,third
vierte,	,fourth
fünfte,	,fifth
sechste,	,sixth
sieb(en)te,	,seventh
achte,	,eighth
neunte,	,ninth
Page 109zehnte,	,tenth
elfte,	,eleventh
zwölfte,	,twelfth
dreizehnte,	,thirteenth
zwanzigste,	,twentieth
Possessivartikel,	,Possessive Adjectives
mein,	,my
dein,	,your (informal sg.)
sein,	,his; its
ihr,	,her; its; their
unser,	,our
euer,	,your (informal pl.)
Ihr,	,your (formal)
Akkusativpräpositionen,	,Accusative Prepositions
durch,	,through
für,	,for
gegen,	,against; around (+ time)
ohne,	,without
um,	,at (+ time)
um (… herum),	,around (spatial)
Akkusativpronomen,	,Accusative Pronouns
mich,	,me
dich,	,you (informal sg.)
ihn,	,him; it
sie,	,her; it; them
es,	,it
uns,	,us
euch,	,you (informal pl.)
Sie,	,you (formal)
Sonstiges,	,Other
Alles Gute!,	,All the best!
es gibt,	,"there is, there are"
Es tut mir leid.,	,I'm sorry.
Herzlichen Glückwunsch zum Geburtstag!,	,Happy birthday!
"der Hund, -e",	,dog
um Mitternacht,	,at midnight
Wann hast du Geburtstag?,	,When is your birthday?
Welches Datum ist heute/morgen?,	,What is today's/tomorrow's date?
