Tage und Tageszeiten,	,Days and Times of Day
der Morgen,	,morning
der Vormittag,	,"morning, before noon"
der Mittag,	,noon
der Nachmittag,	,afternoon
der Abend,	,evening
die Nacht,	,night
heute Morgen,	,this morning
heute Nachmittag,	,this afternoon
morgen früh,	,tomorrow morning
morgen Abend,	,tomorrow evening
morgens,	,"in the morning, mornings"
vormittags,	,before noon
mittags,	,at noon
nachmittags,	,"in the afternoon, afternoons"
abends,	,"in the evening, evenings"
nachts,	,"at night, nights"
montags,	,"Mondays, on Monday(s)"
dienstags,	,"Tuesdays, on Tuesday(s)"
mittwochs,	,"Wednesdays, on Wednesday(s)"
donnerstags,	,"Thursdays, on Thursday(s)"
freitags,	,"Fridays, on Friday(s)"
samstags; sonnabends,	,"Saturdays, on Saturday(s)"
sonntags,	,"Sundays, on Sunday(s)"
Unterhaltung,	,Entertainment
"das Ballett, -e",	,ballet
"die Disco, -s",	,disco; dance club
in die Disco gehen,	,to go clubbing
das Fernsehen,	,television
"der Film, -e",	,film
"das Kino, -s",	,"cinema, (movie) theater"
ins Kino gehen,	,to go to the movies
"die Komödie, -n",	,comedy
"das Konzert, -e",	,concert
ins Konzert gehen,	,to go to a concert
"der Krimi, -s",	,"crime, detective, mystery film or book"
"die Oper, -n",	,opera
in die Oper gehen,	,to go to the opera
"das Theater, -",	,(stage) theater
ins Theater gehen,	,to go to the theater
"das Theaterstück, -e",	,"play, (stage) drama"
"die Tragödie, -n",	,tragedy
Verben mit trennbaren Präfixen,	,Verbs with Separable Prefixes
ab·holen,	,to pick up (from a place)
an·fangen (fängt an),	,to begin
an·rufen,	,to call (up)
auf·räumen,	,"to clean up, straighten up"
auf·stehen,	,to get up; to stand up
auf·wachen,	,to wake up
aus·gehen,	,to go out
ein·kaufen (gehen),	,to (go) shop(ping)
ein·laden (lädt ein),	,to invite
ein·schlafen (schläft ein),	,to fall asleep
fern·sehen (sieht fern),	,to watch television
mit·kommen,	,to come along
vorbei·kommen,	,to come by
vor·haben (hat vor),	,to plan (to do)
zu·hören,	,to listen
zurück·kommen,	,"to return, come back"
Modalverben,	,Modal Verbs
dürfen (darf),	,to be permitted to; may
können (kann),	,to be able to; can
mögen (mag),	,to care for; to like
möchte,	,would like to
müssen (muss),	,to have to; must
sollen,	,"to be supposed to; ought, should"
wollen (will),	,to want to; to plan to
Uhrzeiten,	,Time
"die Minute, -n",	,minute
"die Sekunde, -n",	,second
"die Stunde, -n",	,hour
Um wie viel Uhr?,	,At what time?
Wie spät ist es? / Wie viel Uhr ist es?,	,What time is it?
Es ist eins. / Es ist ein Uhr.,	,It's one o'clock.
halb: halb zwei,	,"half: half past one, one-thirty"
nach: fünf nach zwei,	,after: five after two
um: um zwei,	,at: at two
Viertel: Es ist Viertel nach/vor zwei.,	,quarter: It's a quarter after/to two.
vor: fünf vor zwei,	,"to, of: five to/of two"
Sonstiges,	,Other
frühstücken,	,to eat breakfast
simsen,	,to text
spazieren gehen,	,to go for a walk
Ich gehe spazieren.,	,I'm going for a walk.
treffen (trifft),	,to meet
"die Bibliothek, -en",	,library
"das Fitnesscenter, -",	,gym
"der Plan, e",	,plan
"die SMS, -",	,text message
eine SMS schicken/lesen,	,to send/read a text message
"die Tasse, -n",	,cup
eine Tasse Kaffee,	,a cup of coffee
"die Vorlesung, -en",	,(university) lecture
"Page 141 der Vortrag,",	,lecture
"die Woche, -n",	,week
pro Woche,	,per week
"das Wochenende, -n",	,weekend
am liebsten: möchte am liebsten,	,would like to (do) most
doch,	,(intensifying particle often used with imperatives)
früh,	,early
gemütlich,	,"cozy, cozily"
gewöhnlich,	,usual(ly)
lieber: möchte lieber,	,would rather
mal,	,(softening particle often used with imperatives)
man,	,"one, people, you, they"
Hier darf man nicht parken.,	,You may not park here.
spannend,	,"suspenseful, exciting"
spät,	,late
