Lokale,	,Eating and Drinking Establishments
"der Biergarten,",	,beer garden
"das Café, -s",	,café
"die Gaststätte, -n",	,full-service restaurant
"der Imbiss, -e",	,fast-food stand
"die Kneipe, -n",	,"pub, bar"
"das Lokal, -e",	,"restaurant, pub, bar"
"das Restaurant, -s",	,restaurant
"das Wirtshaus, er",	,pub
Im Restaurant,	,In the Restaurant
das Apfelmus,	,applesauce
der Apfelstrudel,	,apple strudel
"der Auflauf, e",	,casserole
"die Bedienung, -en",	,service; server
"die Beilage, -n",	,side dish
"die Bohne, -n",	,bean
die Bratkartoffeln (pl.),	,fried potatoes
"die Brezel, -n",	,pretzel
"der Eisbecher, -",	,dish of ice cream
"die Gabel, -n",	,fork
"das Gericht, -e",	,dish (of prepared food)
der Grill,	,"grill, barbecue"
"das Hauptgericht, -e",	,main dish
"der Kellner, - / die Kellnerin, -nen",	,server
"die Küche, -n",	,"food, cuisine; kitchen"
"der Löffel, -",	,spoon
der Mais,	,corn
"das Messer, -",	,knife
"die Nachspeise, -n",	,dessert
"der Nachtisch, -e",	,dessert
"die Nudel, -n",	,noodle
"der Ober, -",	,waiter
"die Olive, -n",	,olive
"die Paprika, -",	,bell pepper
"die Pfanne, -n",	,pan
"der Platz, e",	,"place, seat"
die Pommes frites (pl.),	,French fries
"die Rechnung, -en",	,bill
der Reis,	,rice
"der Ruhetag, -e",	,day that a business is closed
die Sahne,	,cream; whipped cream
"der Salat, -e",	,salad; lettuce
das Sauerkraut,	,sauerkraut
"der Schweinebraten, -",	,pork roast
der Senf,	,mustard
"die Serviette, -n",	,napkin
der Speck,	,bacon
"die Speise, -n",	,dish (of prepared food)
"die Speisekarte, -n",	,menu
"das Spiegelei, -er",	,fried egg (sunny-side up)
"der Sprudel, -",	,mineral water
"die Suppe, -n",	,soup
"der Teller, -",	,plate
"die Vorspeise, -n",	,appetizer
"der Wein, -e",	,wine
"die Weißwurst, e",	,white sausage
"die Zwiebel, -n",	,onion
Verben,	,Verbs
bekommen,	,to get
Was bekommen Sie?,	,What will you have?
bestellen,	,to order
entschuldigen,	,to excuse
Entschuldigen Sie!,	,Excuse me!
hängen,	,to hang; to be hanging
lassen,	,to let
Lass uns (doch) …,	,Let's …
legen,	,"to lay, put (in a lying position)"
liegen,	,to lie; to be located
setzen,	,to set; to put (in a sitting position)
sitzen,	,to sit
stecken,	,"to place, put (inside); to be (inside)"
stehen,	,to stand; to be located
stellen,	,"to stand up; place, put (in an upright position)"
warten,	,to wait
Adjektive und Adverbien,	,Adjectives and Adverbs
alkoholfrei,	,nonalcoholic
besetzt,	,"occupied, taken"
Hier ist besetzt.,	,This place is taken.
da drüben,	,over there
geöffnet,	,open
geschlossen,	,closed
getrennt,	,separate(ly)
hoffentlich,	,I hope
täglich,	,daily
vegetarisch,	,vegetarian
voll,	,full; crowded
Wechselpräpositionen,	,Two-Way Prepositions
an,	,"at, on, to, near"
auf,	,"on, on top of, at"
hinter,	,"behind, in back of"
in,	,in; to (a place)
neben,	,"next to, beside"
über,	,"over, above"
unter,	,"under, below, beneath; among"
vor,	,"before, in front of"
zwischen,	,between
Page 201 Präpositionen (Temporal),	,Prepositions (Temporal)
bis (um): bis (um) fünf Uhr,	,until: until five o'clock
(so) gegen: (so) gegen fünf Uhr,	,around/about: around five o'clock
in (+ dat.) : in zwei Tagen,	,in: in two days
nach: nach Dienstag,	,after: after Tuesday
seit: seit zwei Jahren,	,"since, for: for two years"
von: von zwei bis drei Uhr,	,from: from two to three o'clock
vor (+ dat.) : vor zwei Tagen,	,ago: two days ago
zwischen: zwischen zwei und drei Uhr,	,between: between two and three o'clock
Sonstiges,	,Other
Ist hier noch frei?,	,Is this seat available?
Vielen Dank!,	,Many thanks!
vom Fass,	,on tap; draft
zum Mitnehmen,	,(food) to go; takeout
