Körperteile,	,Parts of the Body
"der Arm, -e",	,arm
"das Auge, -n",	,eye
"der Bauch, e",	,"stomach, belly"
"das Bein, -e",	,leg
"die Brust, e",	,chest; breast
"der Ell(en)bogen, -",	,elbow
"der Finger, -",	,finger
"der Fuß, e",	,foot
"das Gesicht, -er",	,face
"das Haar, -e",	,hair
"der Hals, e",	,"throat, neck"
"die Hand, e",	,hand
"das Kinn, -e",	,chin
"das Knie, -",	,knee
"der Kopf, e",	,head
"der Mund, er",	,mouth
"der Muskel, -n",	,muscle
"die Nase, -n",	,nose
"das Ohr, -en",	,ear
"der Rücken, -",	,back
"die Schulter, -n",	,shoulder
"die Zehe, -n",	,toe
sich die Zähne putzen,	,to brush one's teeth
Gesundheit und Fitness,	,Health and Fitness
der Alkohol,	,alcohol
"die Arbeit, -en",	,work; assignment; paper
"der Arzt, e / die Ärztin, -nen",	,"physician, doctor"
die Biolebensmittel (pl.),	,organic foods
"die Erkältung, -en",	,cold
das Fieber,	,fever
die Fitness,	,fitness
die Gesundheit,	,health
"die Grippe, -n",	,flu
der Husten,	,"coughing, cough"
"der Krankenpfleger, / die Krankenschwester, -n",	,nurse
der Kräutertee,	,herbal tea
"die Luft, e",	,air
der Rat,	,advice
die Schmerzen (pl.),	,pains
die Halsschmerzen,	,sore throat
die Kopfschmerzen,	,headache
"die Sprechstunde, -n",	,office hours
der Stress,	,stress
"der Termin, -e",	,appointment
Verben,	,Verbs
"ab•geben (gibt ab), abgegeben",	,"to drop off, give to"
achten auf (+ acc.),	,to pay attention to
"sich an•ziehen, angezogen",	,to get dressed
"sich aus•ziehen, ausgezogen",	,to get undressed
sich beeilen,	,to hurry up
sich duschen,	,to shower
sich entspannen,	,to relax
sich erholen,	,"to get well, recover"
sich erkälten,	,to catch a cold
"sich fit halten (hält), gehalten",	,"to keep fit, in shape"
sich (wohl) fühlen,	,to feel (well)
sich (hin•)legen,	,to lie down
sich (hin•)setzen,	,to sit down
sich informieren (über),	,to inform oneself (about)
sich kämmen,	,to comb (one's hair)
"leid•tun, leidgetan (+ dat.)",	,to be sorry
sich rasieren,	,to shave
rauchen,	,to smoke
schlucken,	,to swallow
sich strecken,	,to stretch
"tun, getan",	,to do
sich verletzen,	,to injure oneself
"verschreiben, verschrieben",	,to prescribe
"sich waschen (wäscht), gewaschen",	,to wash oneself
"weh•tun, wehgetan (+ dat.)",	,to hurt
Das tut mir weh.,	,That hurts.
Adjektive und Adverbien,	,Adjectives and Adverbs
ab und zu,	,"now and then, occasionally"
anstrengend,	,"tiring, strenuous"
besonders,	,especially
deprimiert,	,depressed
deshalb,	,therefore
entweder ... oder,	,either . . . or
fast,	,almost
fit,	,"fit, in shape"
gesund,	,"healthy, healthful, well"
gleich,	,immediately
hundsmiserabel (coll.),	,"lousy, sick as a dog"
kaum,	,"hardly, scarcely"
krank,	,"sick, ill"
manchmal,	,sometimes
meistens,	,mostly
mindestens,	,at least
müde,	,tired
regelmäßig,	,regular(ly)
schlapp,	,"weak, worn-out"
sogar,	,even
verrückt,	,crazy
wenig,	,"little, few"
Unterordnende Konjunktionen,	,Subordinating Conjunctions
dass,	,that
ob,	,whether
weil,	,because
wenn,	,"if, when"
Sonstiges,	,Other
d.h. (= das heißt),	,"that is, i.e."
Das macht nichts.,	,That doesn't matter.
Gute Besserung!,	,Get well soon!
klingen,	,to sound
Du klingst so deprimiert.,	,You sound so depressed.
Mir ist schlecht.,	,I'm sick to my stomach.
Nichts zu danken.,	,No thanks necessary; Don't mention it.
So ein Pech!,	,What a shame! (What bad luck!)
Urlaub machen,	,to go on vacation
Was fehlt Ihnen/dir?,	,What's the matter?
zu Fuß gehen,	,"to go on foot, to walk"
